  Filename:   My  MVS  %
    gc_4_1:    2    2   0
   gc_20_1:    3    3   0
   gc_20_3:    5    5   0
   gc_20_5:    6    6   0
   gc_20_7:   10    8   25
   gc_20_9:   11   11   0
   gc_50_1:    5    5   0
   gc_50_3:   10    8   25
   gc_50_5:   14   11   27
   gc_50_7:   18   16   13
   gc_50_9:   25   24   4
   gc_70_1:    6    5   20
   gc_70_3:   13   10   30
   gc_70_5:   16   15   7
   gc_70_7:   24   21   14
   gc_70_9:   35   32   9
  gc_100_1:    7    6   17
  gc_100_3:   14   13   8
  gc_100_5:   22   20   10
  gc_100_7:   30   26   15
  gc_100_9:   49   44   11
  gc_250_1:   12   10   20
  gc_250_3:   26   24   8
  gc_250_5:   42   38   11
  gc_250_7:   64   60   7
  gc_250_9:   98   94   4
  gc_500_1:   19   17   12
  gc_500_3:   45   43   5
  gc_500_5:   73   66   11
  gc_500_7:  110  104   6
  gc_500_9:  170  172   1
 gc_1000_1:   31   29   7
 gc_1000_3:   75   71   6
 gc_1000_5:  126  121   4
 gc_1000_7:  194  185   5
 gc_1000_9:  327  306   7
